-100*"Table"	1.906911409362378*^29*"Table"
-99*"Table"	4.811881212127898*^28*"Table"
-98*"Table"	-1.0573153204252364*^28*"Table"
-97*"Table"	-1.9786214798786657*^28*"Table"
-96*"Table"	-1.231371954968348*^28*"Table"
-95*"Table"	-4.419313111303396*^27*"Table"
-94*"Table"	-3.053544030327735*^26*"Table"
-93*"Table"	8.55768541178963*^26*"Table"
-92*"Table"	7.200938049147804*^26*"Table"
-91*"Table"	3.3248744542276744*^26*"Table"
-90*"Table"	7.364393651523733*^25*"Table"
-89*"Table"	-2.6217585678516105*^25*"Table"
-88*"Table"	-3.78736642481285*^25*"Table"
-87*"Table"	-2.2109937732124887*^25*"Table"
-86*"Table"	-7.357674941562039*^24*"Table"
-85*"Table"	-1.1015459111357475*^23*"Table"
-84*"Table"	1.7269146809949225*^24*"Table"
-83*"Table"	1.3295579561987272*^24*"Table"
-82*"Table"	5.778964825314353*^23*"Table"
-81*"Table"	1.0870656005294635*^23*"Table"
-80*"Table"	-6.023968476830491*^22*"Table"
-79*"Table"	-7.220864532195643*^22*"Table"
-78*"Table"	-3.964899067069146*^22*"Table"
-77*"Table"	-1.2135355069375963*^22*"Table"
-76*"Table"	6.080138135180752*^20*"Table"
-75*"Table"	3.44834075060095*^21*"Table"
-74*"Table"	2.452848782273973*^21*"Table"
-73*"Table"	1.0016878514672283*^21*"Table"
-72*"Table"	1.5159551105298642*^20*"Table"
-71*"Table"	-1.3249189486236264*^20*"Table"
-70*"Table"	-1.3741671637687955*^20*"Table"
-69*"Table"	-7.1090546275114705*^19*"Table"
-68*"Table"	-1.979027795019944*^19*"Table"
-67*"Table"	2.592805639564068*^18*"Table"
-66*"Table"	6.842416487000965*^18*"Table"
-65*"Table"	4.5291190535652644*^18*"Table"
-64*"Table"	1.7325717652304292*^18*"Table"
-63*"Table"	1.906965009522041*^17*"Table"
-62*"Table"	-2.83861422199174*^17*"Table"
-61*"Table"	-2.616681846877964*^17*"Table"
-60*"Table"	-1.2764727074061384*^17*"Table"
-59*"Table"	-3.181744510524375*^16*"Table"
-58*"Table"	7.506770743853848*^15*"Table"
-57*"Table"	1.354735844357166*^16*"Table"
-56*"Table"	8.389429438141264*^15*"Table"
-55*"Table"	2.993420734623186*^15*"Table"
-54*"Table"	1.8771737697727712*^14*"Table"
-53*"Table"	-5.993456776040246*^14*"Table"
-52*"Table"	-5.001446762346871*^14*"Table"
-51*"Table"	-2.300710421384395*^14*"Table"
-50*"Table"	-5.019264625446192*^13*"Table"
-49*"Table"	1.905638230627128*^13*"Table"
-48*"Table"	2.6890056764245914*^13*"Table"
-47*"Table"	1.5642247623056516*^13*"Table"
-46*"Table"	5.1753656434947*^12*"Table"
-45*"Table"	3.608671210215234*^10*"Table"
-44*"Table"	-1.2592511076461963*^12*"Table"
-43*"Table"	-9.639651908826339*^11*"Table"
-42*"Table"	-4.178685995565503*^11*"Table"
-41*"Table"	-7.704979755776195*^10*"Table"
-40*"Table"	4.562813028564169*^10*"Table"
-39*"Table"	5.385236073598605*^10*"Table"
-38*"Table"	2.951909740346501*^10*"Table"
-37*"Table"	8.984635129651943*^9*"Table"
-36*"Table"	-5.454061056870332*^8*"Table"
-35*"Table"	-2.6608730553930984*^9*"Table"
-34*"Table"	-1.8875585002407968*^9*"Table"
-33*"Table"	-7.700902396541173*^8*"Table"
-32*"Table"	-1.13200912722051*^8*"Table"
-31*"Table"	1.0697485405001926*^8*"Table"
-30*"Table"	1.0995571318250638*^8*"Table"
-29*"Table"	5.695037868306652*^7*"Table"
-28*"Table"	1.5776182065320354*^7*"Table"
-27*"Table"	-2.3078367382081607*^6*"Table"
-26*"Table"	-5.744444080346798*^6*"Table"
-25*"Table"	-3.808789911444038*^6*"Table"
-24*"Table"	-1.4604001774254201*^6*"Table"
-23*"Table"	-152736.94500702858*"Table"
-22*"Table"	253881.0300549353*"Table"
-21*"Table"	233697.76938210614*"Table"
-20*"Table"	114775.19736006626*"Table"
-19*"Table"	28527.315438177717*"Table"
-18*"Table"	-7454.337021846395*"Table"
-17*"Table"	-13087.268169819337*"Table"
-16*"Table"	-8190.710020205615*"Table"
-15*"Table"	-2952.707887344147*"Table"
-14*"Table"	-160.93768965248148*"Table"
-13*"Table"	646.6356491651405*"Table"
-12*"Table"	546.948552454247*"Table"
-11*"Table"	257.2052073505191*"Table"
-10*"Table"	56.37045855390657*"Table"
-9*"Table"	-24.712783168678325*"Table"
-8*"Table"	-35.01672516488152*"Table"
-7*"Table"	-21.239402579572197*"Table"
-6*"Table"	-7.334746540847962*"Table"
-5*"Table"	0.11603438155020183*"Table"
-4*"Table"	2.2926903226993005*"Table"
-3*"Table"	1.937586785266043*"Table"
-2*"Table"	0.9722916273066612*"Table"
-"Table"	0.24956604003665972*"Table"
0	0.
Table	0.24956604003665972*"Table"
2*"Table"	0.9722916273066612*"Table"
3*"Table"	1.937586785266043*"Table"
4*"Table"	2.2926903226993005*"Table"
5*"Table"	0.11603438155020183*"Table"
6*"Table"	-7.334746540847962*"Table"
7*"Table"	-21.239402579572197*"Table"
8*"Table"	-35.01672516488152*"Table"
9*"Table"	-24.712783168678325*"Table"
10*"Table"	56.37045855390657*"Table"
11*"Table"	257.2052073505191*"Table"
12*"Table"	546.948552454247*"Table"
13*"Table"	646.6356491651405*"Table"
14*"Table"	-160.93768965248148*"Table"
15*"Table"	-2952.707887344147*"Table"
16*"Table"	-8190.710020205615*"Table"
17*"Table"	-13087.268169819337*"Table"
18*"Table"	-7454.337021846395*"Table"
19*"Table"	28527.315438177717*"Table"
20*"Table"	114775.19736006626*"Table"
21*"Table"	233697.76938210614*"Table"
22*"Table"	253881.0300549353*"Table"
23*"Table"	-152736.94500702858*"Table"
24*"Table"	-1.4604001774254201*^6*"Table"
25*"Table"	-3.808789911444038*^6*"Table"
26*"Table"	-5.744444080346798*^6*"Table"
27*"Table"	-2.3078367382081607*^6*"Table"
28*"Table"	1.5776182065320354*^7*"Table"
29*"Table"	5.695037868306652*^7*"Table"
30*"Table"	1.0995571318250638*^8*"Table"
31*"Table"	1.0697485405001926*^8*"Table"
32*"Table"	-1.13200912722051*^8*"Table"
33*"Table"	-7.700902396541173*^8*"Table"
34*"Table"	-1.8875585002407968*^9*"Table"
35*"Table"	-2.6608730553930984*^9*"Table"
36*"Table"	-5.454061056870332*^8*"Table"
37*"Table"	8.984635129651943*^9*"Table"
38*"Table"	2.951909740346501*^10*"Table"
39*"Table"	5.385236073598605*^10*"Table"
40*"Table"	4.562813028564169*^10*"Table"
41*"Table"	-7.704979755776195*^10*"Table"
42*"Table"	-4.178685995565503*^11*"Table"
43*"Table"	-9.639651908826339*^11*"Table"
44*"Table"	-1.2592511076461963*^12*"Table"
45*"Table"	3.608671210215234*^10*"Table"
46*"Table"	5.1753656434947*^12*"Table"
47*"Table"	1.5642247623056516*^13*"Table"
48*"Table"	2.6890056764245914*^13*"Table"
49*"Table"	1.905638230627128*^13*"Table"
50*"Table"	-5.019264625446192*^13*"Table"
51*"Table"	-2.300710421384395*^14*"Table"
52*"Table"	-5.001446762346871*^14*"Table"
53*"Table"	-5.993456776040246*^14*"Table"
54*"Table"	1.8771737697727712*^14*"Table"
55*"Table"	2.993420734623186*^15*"Table"
56*"Table"	8.389429438141264*^15*"Table"
57*"Table"	1.354735844357166*^16*"Table"
58*"Table"	7.506770743853848*^15*"Table"
59*"Table"	-3.181744510524375*^16*"Table"
60*"Table"	-1.2764727074061384*^17*"Table"
61*"Table"	-2.616681846877964*^17*"Table"
62*"Table"	-2.83861422199174*^17*"Table"
63*"Table"	1.906965009522041*^17*"Table"
64*"Table"	1.7325717652304292*^18*"Table"
65*"Table"	4.5291190535652644*^18*"Table"
66*"Table"	6.842416487000965*^18*"Table"
67*"Table"	2.592805639564068*^18*"Table"
68*"Table"	-1.979027795019944*^19*"Table"
69*"Table"	-7.1090546275114705*^19*"Table"
70*"Table"	-1.3741671637687955*^20*"Table"
71*"Table"	-1.3249189486236264*^20*"Table"
72*"Table"	1.5159551105298642*^20*"Table"
73*"Table"	1.0016878514672283*^21*"Table"
74*"Table"	2.452848782273973*^21*"Table"
75*"Table"	3.44834075060095*^21*"Table"
76*"Table"	6.080138135180752*^20*"Table"
77*"Table"	-1.2135355069375963*^22*"Table"
78*"Table"	-3.964899067069146*^22*"Table"
79*"Table"	-7.220864532195643*^22*"Table"
80*"Table"	-6.023968476830491*^22*"Table"
81*"Table"	1.0870656005294635*^23*"Table"
82*"Table"	5.778964825314353*^23*"Table"
83*"Table"	1.3295579561987272*^24*"Table"
84*"Table"	1.7269146809949225*^24*"Table"
85*"Table"	-1.1015459111357475*^23*"Table"
86*"Table"	-7.357674941562039*^24*"Table"
87*"Table"	-2.2109937732124887*^25*"Table"
88*"Table"	-3.78736642481285*^25*"Table"
89*"Table"	-2.6217585678516105*^25*"Table"
90*"Table"	7.364393651523733*^25*"Table"
91*"Table"	3.3248744542276744*^26*"Table"
92*"Table"	7.200938049147804*^26*"Table"
93*"Table"	8.55768541178963*^26*"Table"
94*"Table"	-3.053544030327735*^26*"Table"
95*"Table"	-4.419313111303396*^27*"Table"
96*"Table"	-1.231371954968348*^28*"Table"
97*"Table"	-1.9786214798786657*^28*"Table"
98*"Table"	-1.0573153204252364*^28*"Table"
99*"Table"	4.811881212127898*^28*"Table"
100*"Table"	1.906911409362378*^29*"Table"
101*"Table"	3.891596435577085*^29*"Table"
102*"Table"	4.175266724513425*^29*"Table"
103*"Table"	-3.0381426920549053*^29*"Table"
104*"Table"	-2.633120144765992*^30*"Table"
105*"Table"	-6.843256846572703*^30*"Table"
106*"Table"	-1.027479803391642*^31*"Table"
107*"Table"	-3.6525224664874636*^30*"Table"
108*"Table"	3.065805859850674*^31*"Table"
109*"Table"	1.0899011538629395*^32*"Table"
110*"Table"	2.0960917767326156*^32*"Table"
111*"Table"	1.992105445176731*^32*"Table"
112*"Table"	-2.4287585442109942*^32*"Table"
113*"Table"	-1.5577391961436426*^33*"Table"
114*"Table"	-3.7922721297180196*^33*"Table"
115*"Table"	-5.29190445870469*^33*"Table"
116*"Table"	-7.847927335363147*^32*"Table"
117*"Table"	1.917010509095742*^34*"Table"
118*"Table"	6.206417175142329*^34*"Table"
119*"Table"	1.1239583242116547*^35*"Table"
120*"Table"	9.200088423774187*^34*"Table"
121*"Table"	-1.7594223735853208*^35*"Table"
122*"Table"	-9.156270054624239*^35*"Table"
123*"Table"	-2.094233176193819*^36*"Table"
124*"Table"	-2.696216897764219*^36*"Table"
125*"Table"	2.638320821491403*^35*"Table"
126*"Table"	1.181206245977887*^37*"Table"
127*"Table"	3.5204491980885393*^37*"Table"
128*"Table"	5.993067098795295*^37*"Table"
129*"Table"	4.0413837641209217*^37*"Table"
130*"Table"	-1.204598977617331*^38*"Table"
131*"Table"	-5.349979583448402*^38*"Table"
132*"Table"	-1.1518021047952373*^39*"Table"
133*"Table"	-1.3544818766386239*^39*"Table"
134*"Table"	5.4091553473530185*^38*"Table"
135*"Table"	7.191676260697082*^39*"Table"
136*"Table"	1.9886802554059874*^40*"Table"
137*"Table"	3.173653099436245*^40*"Table"
138*"Table"	1.6306989819038741*^40*"Table"
139*"Table"	-7.949188600562078*^40*"Table"
140*"Table"	-3.108454359364297*^41*"Table"
141*"Table"	-6.30509340550584*^41*"Table"
142*"Table"	-6.679066012457205*^41*"Table"
143*"Table"	5.2280958501824796*^41*"Table"
144*"Table"	4.3346797154703147*^42*"Table"
145*"Table"	1.1185143701705753*^43*"Table"
146*"Table"	1.6666402206738838*^43*"Table"
147*"Table"	5.5262592310377525*^42*"Table"
148*"Table"	-5.110407696141231*^43*"Table"
149*"Table"	-1.796377494727618*^44*"Table"
150*"Table"	-3.4330393890016584*^44*"Table"
151*"Table"	-3.211569922314285*^44*"Table"
152*"Table"	4.156730463429009*^44*"Table"
153*"Table"	2.5899438403208213*^45*"Table"
154*"Table"	6.26203477573306*^45*"Table"
155*"Table"	8.663823822641544*^45*"Table"
156*"Table"	1.0394319157566622*^45*"Table"
157*"Table"	-3.221342781146392*^46*"Table"
158*"Table"	-1.0327016184094252*^47*"Table"
159*"Table"	-1.8578689408870146*^47*"Table"
160*"Table"	-1.4900929615180485*^47*"Table"
161*"Table"	3.013496109961792*^47*"Table"
162*"Table"	1.5355146310434273*^48*"Table"
163*"Table"	3.4886408404180086*^48*"Table"
164*"Table"	4.447816192375695*^48*"Table"
165*"Table"	-5.881856686092957*^47*"Table"
166*"Table"	-1.999263953168834*^49*"Table"
167*"Table"	-5.906180120231039*^49*"Table"
168*"Table"	-9.984327754236588*^49*"Table"
169*"Table"	-6.548266068004889*^49*"Table"
170*"Table"	2.0692024743638373*^50*"Table"
171*"Table"	9.039785992306288*^50*"Table"
172*"Table"	1.9333452930592217*^51*"Table"
173*"Table"	2.2479073221161063*^51*"Table"
174*"Table"	-9.945048445037529*^50*"Table"
175*"Table"	-1.225115425517093*^52*"Table"
176*"Table"	-3.3604216329349103*^52*"Table"
177*"Table"	-5.322626581414112*^52*"Table"
178*"Table"	-2.622965489900824*^52*"Table"
179*"Table"	1.3704678923074912*^53*"Table"
180*"Table"	5.287246258564755*^53*"Table"
181*"Table"	1.0653422554976607*^54*"Table"
182*"Table"	1.1133876627228131*^54*"Table"
183*"Table"	-9.340119737227683*^53*"Table"
184*"Table"	-7.427047011177343*^54*"Table"
185*"Table"	-1.9019907913445156*^55*"Table"
186*"Table"	-2.810958242466996*^55*"Table"
187*"Table"	-8.636026192888736*^54*"Table"
188*"Table"	8.84444123312567*^55*"Table"
189*"Table"	3.0734817344835415*^56*"Table"
190*"Table"	5.834035970025915*^56*"Table"
191*"Table"	5.367759109535697*^56*"Table"
192*"Table"	-7.361957004554744*^56*"Table"
193*"Table"	-4.4607407997945604*^57*"Table"
194*"Table"	-1.0707653828282933*^58*"Table"
195*"Table"	-1.4680840168767722*^58*"Table"
196*"Table"	-1.3381002950493385*^57*"Table"
197*"Table"	5.596255151748253*^58*"Table"
198*"Table"	1.7761220206272153*^59*"Table"
199*"Table"	3.173000492697003*^59*"Table"
200*"Table"	2.491152163279957*^59*"Table"
201*"Table"	-5.32332525971684*^59*"Table"
202*"Table"	-2.6570766521314806*^60*"Table"
203*"Table"	-5.994664908063542*^60*"Table"
204*"Table"	-7.565003582852809*^60*"Table"
205*"Table"	1.2655322502176792*^60*"Table"
206*"Table"	3.485825909708533*^61*"Table"
207*"Table"	1.0205275475046807*^62*"Table"
208*"Table"	1.7125505266952758*^62*"Table"
209*"Table"	1.0908336508131096*^62*"Table"
210*"Table"	-3.6546949901076904*^62*"Table"
211*"Table"	-1.570883979122987*^63*"Table"
212*"Table"	-3.336567004195691*^63*"Table"
213*"Table"	-3.833836014009573*^63*"Table"
214*"Table"	1.8649944373122238*^63*"Table"
215*"Table"	2.1433671118379405*^64*"Table"
216*"Table"	5.830661494075597*^64*"Table"
217*"Table"	9.163177302744514*^64*"Table"
218*"Table"	4.31914109219982*^64*"Table"
219*"Table"	-2.4229242937616605*^65*"Table"
220*"Table"	-9.223081517459557*^65*"Table"
221*"Table"	-1.8456088210389735*^66*"Table"
222*"Table"	-1.9019583577823585*^66*"Table"
223*"Table"	1.7053694981585*^66*"Table"
224*"Table"	1.3035324390817293*^67*"Table"
225*"Table"	3.312448084476402*^67*"Table"
226*"Table"	4.8540690240404274*^67*"Table"
227*"Table"	1.3708416305486344*^67*"Table"
228*"Table"	-1.5660162451201072*^68*"Table"
229*"Table"	-5.379987520641541*^68*"Table"
230*"Table"	-1.014092712532567*^69*"Table"
231*"Table"	-9.170835615317357*^68*"Table"
232*"Table"	1.3312600248481276*^69*"Table"
233*"Table"	7.852368188279095*^69*"Table"
234*"Table"	1.8710353161012015*^70*"Table"
235*"Table"	2.5413638061481317*^70*"Table"
236*"Table"	1.5689515316934166*^69*"Table"
237*"Table"	-9.926233801765373*^70*"Table"
238*"Table"	-3.118796066965863*^71*"Table"
239*"Table"	-5.531569540432343*^71*"Table"
240*"Table"	-4.2474406563155717*^71*"Table"
241*"Table"	9.587346926550606*^71*"Table"
242*"Table"	4.6901919339706985*^72*"Table"
243*"Table"	1.0506198142386221*^73*"Table"
244*"Table"	1.3119049972835668*^73*"Table"
245*"Table"	-2.6649382281423155*^72*"Table"
246*"Table"	-6.194317222792784*^73*"Table"
247*"Table"	-1.7971118838470705*^74*"Table"
248*"Table"	-2.9930272240255634*^74*"Table"
249*"Table"	-1.8488984529823779*^74*"Table"
250*"Table"	6.571623660714683*^74*"Table"
251*"Table"	2.7799231955703886*^75*"Table"
252*"Table"	5.8631578549401744*^75*"Table"
253*"Table"	6.655360734486891*^75*"Table"
254*"Table"	-3.538612245296507*^75*"Table"
255*"Table"	-3.815819383363061*^76*"Table"
256*"Table"	-1.0294091354506794*^77*"Table"
257*"Table"	-1.6048080615055754*^77*"Table"
258*"Table"	-7.214149775828296*^76*"Table"
259*"Table"	4.355081572405045*^77*"Table"
260*"Table"	1.635991547847463*^78*"Table"
261*"Table"	3.2507922093730887*^78*"Table"
262*"Table"	3.301890119663214*^78*"Table"
263*"Table"	-3.1576222738667725*^78*"Table"
264*"Table"	-2.3248685612959614*^79*"Table"
265*"Table"	-5.861807830301861*^79*"Table"
266*"Table"	-8.515438175935995*^79*"Table"
267*"Table"	-2.189454601733168*^79*"Table"
268*"Table"	2.815604677832848*^80*"Table"
269*"Table"	9.563603645303088*^80*"Table"
270*"Table"	1.7898525146533936*^81*"Table"
271*"Table"	1.5900135887140237*^81*"Table"
272*"Table"	-2.440842008255403*^81*"Table"
273*"Table"	-1.4029183164773587*^82*"Table"
274*"Table"	-3.317999495132319*^82*"Table"
275*"Table"	-4.463643185623965*^82*"Table"
276*"Table"	-1.414757284967146*^81*"Table"
277*"Table"	1.785815406471508*^83*"Table"
278*"Table"	5.55502438901797*^83*"Table"
279*"Table"	9.780301295632752*^83*"Table"
280*"Table"	7.338406149470899*^83*"Table"
281*"Table"	-1.749602746471217*^84*"Table"
282*"Table"	-8.393451827312648*^84*"Table"
283*"Table"	-1.866622600803855*^85*"Table"
284*"Table"	-2.3057482300518334*^85*"Table"
285*"Table"	5.53083657855508*^84*"Table"
286*"Table"	1.1153450850231784*^86*"Table"
287*"Table"	3.2067129039353365*^86*"Table"
288*"Table"	5.29969801009835*^86*"Table"
289*"Table"	3.1702242679063904*^86*"Table"
290*"Table"	-1.1964422932290144*^87*"Table"
291*"Table"	-4.982650372749874*^87*"Table"
292*"Table"	-1.043439674134398*^88*"Table"
293*"Table"	-1.1697034138379653*^88*"Table"
294*"Table"	6.763971344793218*^87*"Table"
295*"Table"	6.877217786325249*^88*"Table"
296*"Table"	1.8398797989356085*^89*"Table"
297*"Table"	2.844890933375188*^89*"Table"
298*"Table"	1.2156857189589455*^89*"Table"
299*"Table"	-7.919961826495374*^89*"Table"
300*"Table"	-2.9365929560917307*^90*"Table"
301*"Table"	-5.793747798471491*^90*"Table"
302*"Table"	-5.797843543718329*^90*"Table"
303*"Table"	5.902901888643644*^90*"Table"
304*"Table"	4.194230064124281*^91*"Table"
305*"Table"	1.0492583805912583*^92*"Table"
306*"Table"	1.5107878689412613*^92*"Table"
307*"Table"	3.494820221976982*^91*"Table"
308*"Table"	-5.118073824242017*^92*"Table"
309*"Table"	-1.71900002948726*^93*"Table"
310*"Table"	-3.1939746810392783*^93*"Table"
311*"Table"	-2.7855886217046235*^93*"Table"
312*"Table"	4.519215125837014*^93*"Table"
313*"Table"	2.533485950285718*^94*"Table"
314*"Table"	5.9471818330735465*^94*"Table"
315*"Table"	7.922612164447558*^94*"Table"
316*"Table"	7.77515144801433*^91*"Table"
317*"Table"	-3.2460728272262666*^95*"Table"
318*"Table"	-9.9974224472728*^95*"Table"
319*"Table"	-1.7470945307747675*^96*"Table"
320*"Table"	-1.2798168046875424*^96*"Table"
321*"Table"	3.223355768689842*^96*"Table"
322*"Table"	1.5172310394158767*^97*"Table"
323*"Table"	3.349737055283623*^97*"Table"
324*"Table"	4.0922557228363725*^97*"Table"
325*"Table"	-1.135873806688169*^97*"Table"
326*"Table"	-2.027807421416987*^98*"Table"
327*"Table"	-5.777844293519569*^98*"Table"
328*"Table"	-9.474687923697314*^98*"Table"
329*"Table"	-5.479533733310501*^98*"Table"
330*"Table"	2.198168576072066*^99*"Table"
331*"Table"	9.015340309001*^99*"Table"
332*"Table"	1.874457739923958*^100*"Table"
333*"Table"	2.0745448694665133*^100*"Table"
334*"Table"	-1.2992465117390738*^100*"Table"
335*"Table"	-1.2508129994727848*^101*"Table"
336*"Table"	-3.3185970751914914*^101*"Table"
337*"Table"	-5.088828036413276*^101*"Table"
338*"Table"	-2.0595480440950577*^101*"Table"
339*"Table"	1.4528054583836653*^102*"Table"
340*"Table"	5.318102829525737*^102*"Table"
341*"Table"	1.0417296113638105*^103*"Table"
342*"Table"	1.0266451301919682*^103*"Table"
343*"Table"	-1.111107165079842*^103*"Table"
344*"Table"	-7.631911011362397*^103*"Table"
345*"Table"	-1.8943574966429608*^104*"Table"
346*"Table"	-2.7031198513071688*^104*"Table"
347*"Table"	-5.541847849477098*^103*"Table"
348*"Table"	9.380101310084895*^104*"Table"
349*"Table"	3.1157117712243975*^105*"Table"
350*"Table"	5.747030266629567*^105*"Table"
351*"Table"	4.917864783316777*^105*"Table"
352*"Table"	-8.427913857898714*^105*"Table"
353*"Table"	-4.6123506753493504*^106*"Table"
354*"Table"	-1.0746307169788226*^107*"Table"
355*"Table"	-1.4173716815523608*^107*"Table"
356*"Table"	4.3146699866224136*^105*"Table"
357*"Table"	5.946508977314012*^107*"Table"
358*"Table"	1.8134780856202038*^108*"Table"
359*"Table"	3.1453479998847447*^108*"Table"
360*"Table"	2.2473711080590987*^108*"Table"
361*"Table"	-5.981033563228848*^108*"Table"
362*"Table"	-2.7636774612593344*^109*"Table"
363*"Table"	-6.057310019946473*^109*"Table"
364*"Table"	-7.316981793887035*^109*"Table"
365*"Table"	2.3142292498721483*^109*"Table"
366*"Table"	3.714088076589784*^110*"Table"
367*"Table"	1.0488302935051964*^111*"Table"
368*"Table"	1.7063664330823796*^111*"Table"
369*"Table"	9.5243809562913*^110*"Table"
370*"Table"	-4.066624296406017*^111*"Table"
371*"Table"	-1.6430469023799813*^112*"Table"
372*"Table"	-3.391687575544631*^112*"Table"
373*"Table"	-3.70488466087295*^112*"Table"
374*"Table"	2.503935720520096*^112*"Table"
375*"Table"	2.2909549762546922*^113*"Table"
376*"Table"	6.028083175500982*^113*"Table"
377*"Table"	9.166039613006741*^113*"Table"
378*"Table"	3.4988150827521124*^113*"Table"
379*"Table"	-2.6827425089440156*^114*"Table"
380*"Table"	-9.697299578642524*^114*"Table"
381*"Table"	-1.885874277987822*^115*"Table"
382*"Table"	-1.8296159489531033*^115*"Table"
383*"Table"	2.1021245164186674*^115*"Table"
384*"Table"	1.3979960342613156*^116*"Table"
385*"Table"	3.4430241862296334*^116*"Table"
386*"Table"	4.8681883025357646*^116*"Table"
387*"Table"	8.673767021022534*^115*"Table"
388*"Table"	-1.7301077727916827*^117*"Table"
389*"Table"	-5.684167117463063*^117*"Table"
390*"Table"	-1.0407825781393215*^118*"Table"
391*"Table"	-8.733287256297251*^117*"Table"
392*"Table"	1.5803923720425274*^118*"Table"
393*"Table"	8.450352371603973*^118*"Table"
394*"Table"	1.9541438864108072*^119*"Table"
395*"Table"	2.5513802054519217*^119*"Table"
396*"Table"	-1.5973937507139418*^118*"Table"
397*"Table"	-1.0959957272076297*^120*"Table"
398*"Table"	-3.309959979698862*^120*"Table"
399*"Table"	-5.697416233680451*^120*"Table"
400*"Table"	-3.9666827136719795*^120*"Table"
401*"Table"	1.1159467274409223*^121*"Table"
402*"Table"	5.064518956043966*^121*"Table"
403*"Table"	1.1019429745179229*^122*"Table"
404*"Table"	1.3158811720839156*^122*"Table"
405*"Table"	-4.685557107609557*^121*"Table"
406*"Table"	-6.842310917597494*^122*"Table"
407*"Table"	-1.9151316535218866*^123*"Table"
408*"Table"	-3.090991060838457*^123*"Table"
409*"Table"	-1.6619794278982103*^123*"Table"
410*"Table"	7.564127254696614*^123*"Table"
411*"Table"	3.0116763085825128*^124*"Table"
412*"Table"	6.172149816119138*^124*"Table"
413*"Table"	6.652414717161596*^124*"Table"
414*"Table"	-4.83675434514557*^124*"Table"
415*"Table"	-4.219423871909182*^125*"Table"
416*"Table"	-1.1011202311463699*^126*"Table"
417*"Table"	-1.6600911163891148*^126*"Table"
418*"Table"	-5.948053912420878*^125*"Table"
419*"Table"	4.9800216205226646*^126*"Table"
420*"Table"	1.777946817325*^127*"Table"
421*"Table"	3.4326478007648786*^127*"Table"
422*"Table"	3.277006469020028*^127*"Table"
423*"Table"	-3.9924754803693095*^127*"Table"
424*"Table"	-2.5744472474205193*^128*"Table"
425*"Table"	-6.2912047051653744*^128*"Table"
426*"Table"	-8.81310702090933*^128*"Table"
427*"Table"	-1.328747451423527*^128*"Table"
428*"Table"	3.207298298641621*^129*"Table"
429*"Table"	1.0424160271479658*^130*"Table"
430*"Table"	1.894614251016239*^130*"Table"
431*"Table"	1.5579318805470679*^130*"Table"
432*"Table"	-2.9762864863878636*^130*"Table"
433*"Table"	-1.5560783575927253*^131*"Table"
434*"Table"	-3.571589122599962*^131*"Table"
435*"Table"	-4.615326034623664*^131*"Table"
436*"Table"	4.4103142480712444*^130*"Table"
437*"Table"	2.0298944775047283*^132*"Table"
438*"Table"	6.071492611977987*^132*"Table"
439*"Table"	1.0371057070515472*^133*"Table"
440*"Table"	7.028393691054398*^132*"Table"
441*"Table"	-2.0912832479371702*^133*"Table"
442*"Table"	-9.326045315062994*^133*"Table"
443*"Table"	-2.014395079983278*^134*"Table"
444*"Table"	-2.377456855240363*^134*"Table"
445*"Table"	9.438839489307172*^133*"Table"
446*"Table"	1.2664528763902419*^135*"Table"
447*"Table"	3.5136474744215464*^135*"Table"
448*"Table"	5.625428462167928*^135*"Table"
449*"Table"	2.90766759513871*^135*"Table"
450*"Table"	-1.4130821389624005*^136*"Table"
451*"Table"	-5.54606283223784*^136*"Table"
452*"Table"	-1.128411808625152*^137*"Table"
453*"Table"	-1.1996770837803464*^137*"Table"
454*"Table"	9.358045830249354*^136*"Table"
455*"Table"	7.80630139503943*^137*"Table"
456*"Table"	2.0205328100479838*^138*"Table"
457*"Table"	3.020055039662051*^138*"Table"
458*"Table"	1.01006082058172*^138*"Table"
